Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2091858336731779136,"Mon, Aug 24, 2026",@notcelon the universe is just enabling you at this point haha,https://x.com/MauroJPelle/status/2091858336731779136,3,1,5,0,0,0,0,0,0,4,0,0,0
2091852949580329396,"Mon, Aug 24, 2026","@MaxHirsch13 shipping fast only helps if someone sees it, thats the part people skip, not the polish",https://x.com/MauroJPelle/status/2091852949580329396,4,0,0,0,0,0,0,0,0,0,0,0,0
2091852387656913163,"Mon, Aug 24, 2026","@KevinSzabo14 post leg day work sessions are a myth, nothing gets done haha",https://x.com/MauroJPelle/status/2091852387656913163,2,0,0,0,0,0,0,0,0,0,0,0,0
2091851358479466908,"Mon, Aug 24, 2026","@Mdkhurshed76417 same story with ai, the tool was fine the whole time, nobody set it up",https://x.com/MauroJPelle/status/2091851358479466908,79,0,0,0,0,0,0,0,0,0,0,0,0
2091851099082793366,"Mon, Aug 24, 2026","@stanleefounder 2 sodas is a wild night, hope everyone got home safe haha",https://x.com/MauroJPelle/status/2091851099082793366,14,2,5,0,0,0,0,0,0,3,0,0,0
2091849436863312140,"Mon, Aug 24, 2026","@adamtaylorl the building in public part is where it compounds, most agency owners never start, good move",https://x.com/MauroJPelle/status/2091849436863312140,7,0,0,0,0,0,0,0,0,0,0,0,0
2091845891149697164,"Mon, Aug 24, 2026","@saadkamal not sounding like claude is a real edge haha, feed it how you actually talk and it gets there",https://x.com/MauroJPelle/status/2091845891149697164,17,0,0,0,0,0,0,0,0,0,0,0,0
2091844605264200068,"Mon, Aug 24, 2026","@Aidanb2b not sounding like claude is a real edge haha, feed it how you actually talk and it gets there",https://x.com/MauroJPelle/status/2091844605264200068,17,0,0,0,0,0,0,0,0,0,0,0,0
2091842988615872547,"Mon, Aug 24, 2026","@liutauras_liu 50k and enjoying it beats double that hating it, congrats man",https://x.com/MauroJPelle/status/2091842988615872547,5,0,0,0,0,0,0,0,0,0,0,0,0
2091842845481046232,"Mon, Aug 24, 2026","@VelariCapital trust is the universal part, the only difference is b2b takes three people agreeing instead of one",https://x.com/MauroJPelle/status/2091842845481046232,9,1,7,0,0,0,1,0,0,5,0,0,0
2091842384153702805,"Mon, Aug 24, 2026",@BowTiedPhys the protocol is working then haha,https://x.com/MauroJPelle/status/2091842384153702805,10,0,0,0,0,0,0,0,0,0,0,0,0
2091842006351839329,"Mon, Aug 24, 2026","@liutauras_liu the format saturated, thats whats dying, the ones still working have an actual pov behind the design",https://x.com/MauroJPelle/status/2091842006351839329,5,0,0,0,0,0,0,0,0,0,0,0,0
2091841286164672985,"Mon, Aug 24, 2026",https://t.co/sMCsgkiELb,https://x.com/MauroJPelle/status/2091841286164672985,47,3,8,0,0,0,0,0,1,4,0,0,0
2091840989623169148,"Mon, Aug 24, 2026","@brian_blum1 short form stops the day you stop, thats why the list and the searchable stuff matter",https://x.com/MauroJPelle/status/2091840989623169148,6,0,0,0,0,0,0,0,0,0,0,0,0
2091840440517394438,"Mon, Aug 24, 2026","@siddharthwv the be cringe one is the money maker, every time we lean into it we book more calls",https://x.com/MauroJPelle/status/2091840440517394438,8,1,2,0,0,0,0,0,0,1,0,0,0
2091839792422003099,"Mon, Aug 24, 2026","@leondwolf the 2 person version only works if the systems are actually built, thats the whole difference",https://x.com/MauroJPelle/status/2091839792422003099,43,1,7,0,0,0,1,0,1,4,0,0,0
2091839054283239665,"Mon, Aug 24, 2026","@coreyganim put revenue on that scorecard instead of hours saved, cost savings always get renegotiated eventually",https://x.com/MauroJPelle/status/2091839054283239665,9,0,0,0,0,0,0,0,0,0,0,0,0
2091830472519143877,"Mon, Aug 24, 2026","@HelenGuo_ 2 years of relationships is its own distribution channel, he just built it offline",https://x.com/MauroJPelle/status/2091830472519143877,35,0,0,0,0,0,0,0,0,0,0,0,0
2091829699219476793,"Mon, Aug 24, 2026","@AdityaKhanduri exactly, you cant tell it what good looks like if you never worked it out yourself",https://x.com/MauroJPelle/status/2091829699219476793,14,1,2,0,0,0,0,0,0,1,0,0,0
2091828581022233065,"Mon, Aug 24, 2026","@johnennis dictating is the cheat code, easiest way to sound like yourself is transcribing how you actually talk",https://x.com/MauroJPelle/status/2091828581022233065,6,1,2,0,0,0,0,0,0,1,0,0,0
2091825864031850666,"Mon, Aug 24, 2026","@mishaglouberman 8 years of data to rediscover bedtime, incredible roi haha",https://x.com/MauroJPelle/status/2091825864031850666,495,0,1,0,0,0,0,0,1,0,0,0,0
2091825672259768706,"Mon, Aug 24, 2026","@itsalfredw good luck, the billionaire owner is either the easiest or hardest negotiation of your life haha",https://x.com/MauroJPelle/status/2091825672259768706,119,0,2,0,0,0,0,0,2,0,0,0,0
2091825294462075337,"Mon, Aug 24, 2026",@Tim_Denning facebook: happy birthday to my wife who doesnt have facebook,https://x.com/MauroJPelle/status/2091825294462075337,7,0,0,0,0,0,0,0,0,0,0,0,0
2091824664876036123,"Mon, Aug 24, 2026","@siddharthwv the brand is what makes the third one cheap, without it youre paying for every lead",https://x.com/MauroJPelle/status/2091824664876036123,6,0,0,0,0,0,0,0,0,0,0,0,0
2091823923541221854,"Mon, Aug 24, 2026",@Guronnimo agree,https://x.com/MauroJPelle/status/2091823923541221854,10,1,4,0,0,0,1,0,0,2,0,0,0
2091823032763383974,"Mon, Aug 24, 2026","@cem_hasoglu this works because they already trusted you, content does the same thing at scale and keeps doing it",https://x.com/MauroJPelle/status/2091823032763383974,4,0,0,0,0,0,0,0,0,0,0,0,0
2091822783625834649,"Mon, Aug 24, 2026","@khemaridh a downloaded skill gives you someone elses judgment, the value only shows up when you encode your own",https://x.com/MauroJPelle/status/2091822783625834649,9,0,0,0,0,0,0,0,0,0,0,0,0
2091820080652783728,"Mon, Aug 24, 2026",The step people skip when building AI skills: testing on real work. Don't test your scriptwriting skill on a made-up topic. Run it on the actual video you're making this week. A skill only shows you where it's weak when the input is real.,https://x.com/MauroJPelle/status/2091820080652783728,36,5,11,0,0,0,1,0,2,3,0,0,0
2091819073461948714,"Mon, Aug 24, 2026","@freddiexpott ai isnt what makes content slop, the input is, feed it your real work and it sounds like you",https://x.com/MauroJPelle/status/2091819073461948714,9,0,0,0,0,0,0,0,0,0,0,0,0
2091818602190057563,"Mon, Aug 24, 2026","@omkarships at the end of the day, claude code is the best.",https://x.com/MauroJPelle/status/2091818602190057563,39,1,2,0,0,0,0,0,0,1,0,0,0
2091818334874419544,"Mon, Aug 24, 2026",@markproduct persistence is the key,https://x.com/MauroJPelle/status/2091818334874419544,72,0,0,0,0,0,0,0,0,0,0,0,0
2091805668583825761,"Mon, Aug 24, 2026","@MichLieben the proof posts are the ones that actually book calls, reach just decides how many people see them",https://x.com/MauroJPelle/status/2091805668583825761,4,0,0,0,0,0,0,0,0,0,0,0,0
2091805458315022624,"Mon, Aug 24, 2026","@MichLieben the part most miss is each role needs its own metric, judging a proof post on reach is how the good ones get killed",https://x.com/MauroJPelle/status/2091805458315022624,4,0,0,0,0,0,0,0,0,0,0,0,0
2091805032228241466,"Mon, Aug 24, 2026","@Aidanb2b the scope grew because clients started measuring booked calls instead of posts, writing became the cheap part",https://x.com/MauroJPelle/status/2091805032228241466,5,0,0,0,0,0,0,0,0,0,0,0,0
2091804413115449796,"Mon, Aug 24, 2026","@acohen 5 is the only one on this list that compounds, the rest you pay for again every time you want more",https://x.com/MauroJPelle/status/2091804413115449796,40,0,0,0,0,0,0,0,0,0,0,0,0
2091782620954714425,"Mon, Aug 24, 2026",Skills beat agents for lead magnets. I don't want Claude getting creative with the format. I want the same clean Notion structure on every single drop.,https://x.com/MauroJPelle/status/2091782620954714425,163,3,5,0,0,0,0,0,1,1,0,0,0
2091602090015555912,"Sun, Aug 23, 2026","@aymanalabdul same principle, i run mine in files and git so claude reads it natively, notion works if thats where your team lives",https://x.com/MauroJPelle/status/2091602090015555912,127,3,6,0,0,0,0,0,1,2,0,0,0
2091601628600193357,"Sun, Aug 23, 2026","@rileybrown if that lands the whole distribution game changes, youd be optimizing for what someones ai recommends instead of the algorithm",https://x.com/MauroJPelle/status/2091601628600193357,42,0,0,0,0,0,0,0,0,0,0,0,0
2091600313480355934,"Sun, Aug 23, 2026",@KevinSzabo14 experience is the most important thing; it is through repetitive trial and error that we gain experience,https://x.com/MauroJPelle/status/2091600313480355934,4,0,0,0,0,0,0,0,0,0,0,0,0
2091599884000395654,"Sun, Aug 23, 2026",@GohilHardy like the old school using your head and creativity,https://x.com/MauroJPelle/status/2091599884000395654,8,0,0,0,0,0,0,0,0,0,0,0,0
2091599186680521204,"Sun, Aug 23, 2026","@dan__rosenthal claude code as the company os is the piece that actually compounds, the rest of the stack is swappable",https://x.com/MauroJPelle/status/2091599186680521204,15,0,0,0,0,0,0,0,0,0,0,0,0
2091598718302593513,"Sun, Aug 23, 2026","@omkarships it definitely automates my work; tasks that used to take me a few hours I can now finish in one or two whereas before, the same work would have taken the whole day",https://x.com/MauroJPelle/status/2091598718302593513,3,0,0,0,0,0,0,0,0,0,0,0,0
2091594087396679935,"Sun, Aug 23, 2026","We started on X, moved to LinkedIn, and now we're going hard on YouTube. Each move was up the trust ladder, toward the format that does the most convincing before a call ever happens. For a cheap product a post is fine.",https://x.com/MauroJPelle/status/2091594087396679935,32,3,4,0,0,0,0,0,0,1,0,0,0
